Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2014,Moreno Valley,16.2,21.1,12.1,8.8,9.3,24.1,18.8,13.5,6.7,8.4,12.9,35.2,83.1,12.7,13.9,19.5,32.1,40.8,22.3,8.2,4.4
2014,Mountain View,3.7,6.9,3.0,0.0,0.0,6.6,6.0,5.2,2.7,N,N,N,N,N,N,N,N,17.1,4.9,0.8,0.0
2014,Murrieta,6.5,7.4,1.9,2.7,3.3,5.4,12.8,6.8,2.5,5.1,7.4,7.9,0.0,5.5,9.7,0.8,0.0,30.1,6.0,1.2,0.0
2014,Napa,5.3,7.8,4.7,0.6,2.0,14.4,8.0,0.7,2.1,2.5,6.6,13.4,-,3.7,6.2,7.1,0.0,12.5,10.3,2.5,0.0
2014,Newport Beach,3.4,3.3,2.0,2.9,4.6,31.9,11.9,4.3,2.1,3.4,4.1,0.0,-,4.3,3.0,0.0,-,13.1,0.3,3.0,2.0
2014,Norwalk,10.0,15.9,5.4,5.4,3.3,16.7,12.0,5.7,5.2,4.8,9.5,31.4,87.2,9.3,8.1,12.4,14.1,40.4,20.3,1.3,0.7
2014,Oakland,15.6,21.7,11.7,9.4,6.9,35.3,17.4,16.6,3.0,8.6,18.1,33.6,55.3,12.7,15.6,21.5,28.5,36.8,24.5,5.5,4.3
2014,Oceanside,12.5,17.1,3.5,5.8,5.6,25.7,15.6,13.5,5.3,8.6,18.0,12.1,28.4,12.5,13.1,12.9,0.0,42.5,7.6,2.9,1.8
2014,Ontario,13.1,17.6,10.0,12.4,9.0,29.2,10.1,6.3,2.6,6.2,11.7,33.1,16.6,10.4,10.0,21.8,15.5,44.3,16.9,9.2,1.2
2014,Orange,9.9,13.0,7.9,7.1,5.2,25.3,21.2,6.1,2.7,6.6,8.9,26.1,64.3,6.5,12.6,7.5,22.9,32.5,15.7,3.7,0.9
