Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2019,Moreno Valley,10.2,13.4,7.6,6.4,14.0,7.8,9.8,9.6,5.7,8.8,24.6,19.7,9.7,9.1,14.3,4.8,26.9,16.0,3.4,0.9
2019,Mountain View,2.1,0.0,1.6,5.3,0.0,0.0,3.0,2.4,N,N,N,N,N,N,N,N,15.1,2.3,1.1,0.0
2019,Murrieta,4.7,5.3,3.8,4.7,7.1,6.7,7.0,0.9,3.9,2.3,13.6,42.9,4.3,4.4,4.9,9.6,11.1,6.7,3.0,1.2
2019,Napa,4.3,6.2,4.3,6.1,14.9,5.3,3.2,0.6,2.9,5.7,9.8,0.0,4.3,5.7,0.0,0.0,3.8,12.9,1.0,0.0
2019,Newport Beach,4.8,8.0,2.8,0.4,0.0,17.0,3.3,4.6,N,N,N,N,4.9,5.8,1.8,0.0,6.3,10.1,0.3,0.0
2019,Norwalk,4.6,4.4,2.0,7.8,7.1,4.7,3.4,4.8,4.8,4.3,4.0,16.1,8.3,2.6,5.7,0.0,23.6,2.4,3.8,0.9
2019,Oakland,11.0,15.5,5.8,9.1,28.9,15.8,10.9,3.4,6.6,13.8,19.8,83.1,8.4,11.0,20.8,5.9,43.1,13.9,2.6,0.5
2019,Oceanside,3.9,7.4,4.4,1.5,3.8,16.3,1.0,1.9,1.3,5.2,13.8,9.9,1.7,3.5,11.6,13.5,3.8,8.4,1.4,2.3
2019,Ontario,10.5,14.5,7.0,5.6,14.9,10.1,10.5,5.2,5.7,10.7,25.2,0.0,8.4,11.8,11.6,5.1,31.3,21.3,3.0,2.9
2019,Orange,4.9,8.9,4.3,2.0,12.8,7.5,1.5,3.6,1.3,6.5,19.3,-,2.5,4.7,6.9,50.1,11.5,6.6,2.3,4.9
2019,Oxnard,9.9,14.9,6.5,5.8,22.8,12.8,0.7,0.7,4.1,10.2,29.6,36.8,6.6,10.2,14.1,5.9,34.0,20.6,2.3,0.6
2019,Palmdale,12.0,15.1,7.8,7.8,18.3,12.1,11.1,6.0,8.1,8.6,31.8,13.4,11.9,13.3,10.9,7.1,45.3,16.4,4.4,0.0
2019,Palo Alto,2.6,3.4,1.1,2.3,11.1,0.0,2.9,2.4,N,N,N,N,N,N,N,N,11.0,1.7,0.0,3.5
2019,Pasadena,6.1,8.2,2.6,6.0,18.7,14.0,3.6,3.2,4.8,9.1,0.0,0.0,5.7,7.4,4.5,0.0,29.6,8.1,0.8,0.0
2019,Perris,6.4,7.9,6.9,15.2,4.9,5.6,11.0,0.0,N,N,N,N,9.0,8.4,0.0,17.4,27.1,10.8,4.0,1.3
2019,Pittsburg,9.4,11.4,7.0,12.6,17.9,16.6,1.8,6.8,7.2,8.3,21.8,0.0,10.7,7.3,10.8,10.1,37.3,13.3,2.2,0.0
2019,Pleasanton,3.0,4.2,1.9,1.0,N,N,N,N,1.8,4.6,0.0,0.0,0.5,5.6,0.0,0.0,13.1,2.3,1.6,0.0
