Year,City,Total,Total Occupied,Renter occupied
2017,Upland,"25,582","14,371","11,211"
2017,Vacaville,"34,017","19,677","14,340"
2017,Vallejo,"41,719","23,000","18,719"
2017,Victorville,"35,088","19,493","15,595"
2017,Visalia,"43,785","26,382","17,403"
2017,Vista,"31,618","16,549","15,069"
2017,Walnut Creek,"31,648","20,843","10,805"
2017,West Covina,"29,807","18,680","11,127"
2017,Westminster,"28,876","14,902","13,974"
2017,Whittier,"26,722","15,832","10,890"
2017,Yorba Linda,,,
2017,Yuba City,"22,172","12,341","9,831"
2018,Alameda,"30,724","15,195","15,529"
2018,Alhambra,"30,556","10,796","19,760"
2018,Anaheim,"101,547","49,117","52,430"
2018,Antioch,"34,518","20,092","14,426"
2018,Apple Valley town,"24,302","16,158","8,144"
2018,Arden-Arcade CDP,"44,426","18,558","25,868"
2018,Bakersfield,"121,615","72,020","49,595"
2018,Baldwin Park,"18,224","9,959","8,265"
2018,Bellflower,"24,333","9,768","14,565"
2018,Berkeley,"43,806","17,924","25,882"
2018,Buena Park,"23,171","13,605","9,566"
2018,Burbank,"43,060","19,462","23,598"
2018,Camarillo,,,
2018,Carlsbad,,,
2018,Carmichael CDP,"26,271","14,087","12,184"
2018,Carson,"23,896","16,917","6,979"
2018,Castro Valley CDP,"20,371","15,035","5,336"
2018,Chico,"37,100","16,067","21,033"
2018,Chino,"25,509","17,192","8,317"
2018,Chino Hills,,,
2018,Chula Vista,"78,112","45,443","32,669"
2018,Citrus Heights,"33,390","18,242","15,148"
2018,Clovis,"38,223","24,009","14,214"
2018,Compton,"24,489","12,704","11,785"
2018,Concord,"49,444","29,076","20,368"
2018,Corona,"43,987","28,090","15,897"
2018,Costa Mesa,"40,295","16,037","24,258"
2018,Daly City,"32,792","18,511","14,281"
2018,Davis,"24,796","10,160","14,636"
2018,Downey,"34,820","16,275","18,545"
2018,East Los Angeles CDP,"30,851","11,480","19,371"
2018,El Cajon,"33,153","12,916","20,237"
2018,Elk Grove,"53,620","39,823","13,797"
2018,El Monte,"30,469","12,039","18,430"
2018,Escondido,"51,439","26,591","24,848"
2018,Fairfield,"38,964","22,991","15,973"
2018,Florence-Graham CDP,"14,516","4,993","9,523"
2018,Folsom,"26,845","19,009","7,836"
2018,Fontana,"54,788","35,891","18,897"
2018,Fremont,"78,243","47,511","30,732"
2018,Fresno,"171,209","75,607","95,602"
2018,Fullerton,"45,180","24,325","20,855"
2018,Garden Grove,"44,696","24,331","20,365"
2018,Glendale,"73,675","22,305","51,370"
2018,Hawthorne,"29,174","7,534","21,640"
2018,Hayward,"48,865","25,690","23,175"
2018,Hemet,"28,544","17,259","11,285"
2018,Hesperia,"27,703","17,508","10,195"
2018,Huntington Beach,"76,622","43,446","33,176"
2018,Indio,"40,637","30,034","10,603"
2018,Inglewood,"35,518","12,383","23,135"
2018,Irvine,"100,150","46,025","54,125"
2018,Jurupa Valley,"23,872","16,767","7,105"
2018,Laguna Niguel,,,
2018,Lake Elsinore,"17,996","12,494","5,502"
2018,Lake Forest,"30,760","21,906","8,854"
2018,Lakewood,"25,993","18,312","7,681"
2018,Lancaster,"46,309","25,026","21,283"
2018,Livermore,,,
2018,Lodi,"23,951","12,041","11,910"
2018,Long Beach,"173,432","70,749","102,683"
2018,Los Angeles,"1,382,293","501,962","880,331"
2018,Lynwood,"15,979","7,161","8,818"
2018,Madera,"18,028","8,856","9,172"
2018,Manteca,,,
2018,Menifee,,,
2018,Merced,"26,075","11,333","14,742"
2018,Milpitas,"23,161","14,273","8,888"
2018,Mission Viejo,"33,011","26,139","6,872"
2018,Modesto,"70,756","39,615","31,141"
2018,Moreno Valley,"47,952","28,985","18,967"
2018,Mountain View,"33,400","13,925","19,475"
2018,Murrieta,"32,391","21,419","10,972"
2018,Napa,"28,245","16,568","11,677"
2018,Newport Beach,,,
2018,Norwalk,"26,842","17,502","9,340"
2018,Oakland,"165,590","68,336","97,254"
2018,Oceanside,"60,537","34,728","25,809"
2018,Ontario,"50,569","27,780","22,789"
2018,Orange,"42,927","25,984","16,943"
2018,Oxnard,"51,883","27,465","24,418"
2018,Palmdale,"45,320","30,558","14,762"
2018,Palo Alto,"26,518","14,024","12,494"
2018,Pasadena,"53,901","22,782","31,119"
2018,Perris,"17,206","11,250","5,956"
2018,Pittsburg,"20,823","11,468","9,355"
2018,Pleasanton,"27,955","20,283","7,672"
2018,Pomona,"39,422","19,559","19,863"
2018,Rancho Cordova,"27,879","17,404","10,475"
2018,Rancho Cucamonga,"56,354","33,144","23,210"
2018,Redding,"35,476","19,298","16,178"
2018,Redlands,"25,917","16,172","9,745"
2018,Redondo Beach,,,
2018,Redwood City,"29,498","14,374","15,124"
2018,Rialto,"25,485","16,505","8,980"
2018,Richmond,"36,057","18,776","17,281"
2018,Riverside,"87,341","48,020","39,321"
2018,Rocklin,"21,206","13,899","7,307"
2018,Roseville,"51,727","32,948","18,779"
2018,Sacramento,"182,677","89,678","92,999"
2018,Salinas,"39,881","17,301","22,580"
2018,San Bernardino,"58,972","27,494","31,478"
2018,San Buenaventura (Ventura),"42,744","22,551","20,193"
2018,San Clemente,,,
2018,San Diego,"513,698","240,650","273,048"
2018,San Francisco,"362,827","136,242","226,585"
2018,San Jose,"327,848","181,143","146,705"
2018,San Leandro,"30,749","17,597","13,152"
2018,San Marcos,"30,118","17,809","12,309"
2018,San Mateo,"38,951","21,443","17,508"
2018,San Ramon,"26,474","20,322","6,152"
2018,Santa Ana,"78,786","35,331","43,455"
2018,Santa Barbara,"35,647","15,072","20,575"
2018,Santa Clara,"45,173","18,356","26,817"
2018,Santa Clarita,"67,509","47,518","19,991"
2018,Santa Cruz,"21,707","10,286","11,421"
2018,Santa Maria,"26,336","12,902","13,434"
2018,Santa Monica,"44,495","12,240","32,255"
2018,Santa Rosa,"65,587","34,051","31,536"
2018,Simi Valley,"43,069","31,701","11,368"
2018,South Gate,"23,691","10,268","13,423"
2018,South San Francisco,"20,774","13,040","7,734"
2018,South Whittier CDP,"15,783","10,966","4,817"
2018,Stockton,"95,557","42,124","53,433"
2018,Sunnyvale,"56,537","27,061","29,476"
2018,Temecula,"32,859","22,997","9,862"
2018,Thousand Oaks,"44,092","30,476","13,616"
2018,Torrance,"54,991","30,953","24,038"
2018,Tracy,"25,793","17,137","8,656"
2018,Turlock,"24,140","11,415","12,725"
2018,Tustin,"24,407","11,360","13,047"
2018,Union City,"19,990","12,574","7,416"
2018,Upland,"26,244","14,442","11,802"
2018,Vacaville,"32,503","21,037","11,466"
2018,Vallejo,"41,730","24,313","17,417"
2018,Victorville,"31,624","18,249","13,375"
2018,Visalia,"42,729","25,665","17,064"
2018,Vista,"30,581","15,803","14,778"
2018,Walnut Creek,"31,675","21,472","10,203"
2018,West Covina,"30,333","19,525","10,808"
2018,Westminster,"27,019","13,305","13,714"
2018,Whittier,"27,672","14,594","13,078"
2018,Yorba Linda,,,
2018,Yuba City,"22,524","12,864","9,660"
2019,Alameda,"30,788","14,267","16,521"
2019,Alhambra,"28,777","12,830","15,947"
2019,Anaheim,"105,301","48,570","56,731"
2019,Antioch,"36,138","22,917","13,221"
2019,Apple Valley town,,,
2019,Arden-Arcade CDP,"42,309","17,167","25,142"
2019,Bakersfield,"116,558","69,256","47,302"
2019,Baldwin Park,"19,350","11,072","8,278"
2019,Bellflower,"23,369","8,697","14,672"
2019,Berkeley,"44,551","18,438","26,113"
2019,Buena Park,"25,362","15,614","9,748"
2019,Burbank,"43,167","17,529","25,638"
2019,Camarillo,,,
2019,Carlsbad,,,
2019,Carmichael CDP,,,
2019,Carson,"25,573","17,985","7,588"
2019,Chico,,,
2019,Chino,"26,079","16,435","9,644"
2019,Chino Hills,,,
2019,Chula Vista,"82,916","49,726","33,190"
2019,Citrus Heights,"36,460","21,885","14,575"
2019,Clovis,"39,269","27,148","12,121"
2019,Compton,"21,757","13,586","8,171"
2019,Concord,"45,071","26,280","18,791"
2019,Corona,"47,793","29,340","18,453"
2019,Costa Mesa,"38,762","14,887","23,875"
2019,Daly City,"31,289","18,560","12,729"
2019,Davis,"26,367","9,860","16,507"
2019,Downey,"32,073","14,901","17,172"
2019,East Los Angeles CDP,"30,676","11,569","19,107"
2019,El Cajon,"32,139","13,194","18,945"
2019,Elk Grove,"57,048","43,016","14,032"
2019,El Monte,"31,535","11,861","19,674"
2019,Escondido,"51,364","25,170","26,194"
2019,Fairfield,"37,310","22,125","15,185"
2019,Florence-Graham CDP,"14,973","5,973","9,000"
2019,Folsom,"27,286","18,471","8,815"
2019,Fontana,"56,457","37,375","19,082"
2019,Fremont,"77,848","45,886","31,962"
2019,Fresno,"172,815","79,995","92,820"
2019,Fullerton,"44,365","23,118","21,247"
2019,Garden Grove,"47,378","25,679","21,699"
2019,Glendale,"74,197","24,018","50,179"
2019,Hawthorne,"27,489","7,898","19,591"
2019,Hayward,"47,826","25,766","22,060"
2019,Hemet,"28,412","17,791","10,621"
2019,Hesperia,"27,185","15,476","11,709"
2019,Huntington Beach,"75,273","41,255","34,018"
2019,Indio,"31,760","24,854","6,906"
2019,Inglewood,"34,440","11,705","22,735"
2019,Irvine,"104,524","45,526","58,998"
2019,Jurupa Valley,"24,548","15,285","9,263"
2019,Laguna Niguel,,,
2019,Lake Elsinore,"18,642","13,527","5,115"
2019,Lake Forest,"28,460","20,278","8,182"
2019,Lakewood,"25,198","18,214","6,984"
2019,Lancaster,"49,220","26,222","22,998"
2019,Livermore,"30,545","22,344","8,201"
2019,Lodi,"22,733","12,504","10,229"
2019,Long Beach,"165,689","64,944","100,745"
2019,Los Angeles,"1,398,900","511,115","887,785"
2019,Lynwood,"15,142","7,641","7,501"
2019,Madera,"16,625","7,868","8,757"
2019,Manteca,"26,047","19,446","6,601"
2019,Menifee,"29,356","23,018","6,338"
2019,Merced,"25,005","11,192","13,813"
