City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cool,248134.3,229766.4,210921.6,246322.4,291660.5,319795.8,349403.4,383028.9,404347.3,413520.3
Copperopolis,208684.5,203636.1,207018.3,238255.1,280719.2,306363.3,319503.1,338595.1,351530.3,368080.7
Corcoran,101179.3,86601.0,80738.3,87197.3,96181.8,108056.4,120679.2,137516.3,151992.6,163475.9
Corona,285522.4,281967.8,280542.6,330772.0,389252.9,410197.1,424993.1,445944.1,482374.3,492982.7
Coronado,1111408.7,1061945.9,1083312.4,1194174.9,1304799.6,1419210.7,1508631.2,1550099.1,1612902.8,1636131.6
Corte Madera,755210.1,718565.2,775935.7,936452.7,1041701.1,1143361.4,1230470.4,1287005.9,1381469.9,1368591.2
Costa Mesa,509202.8,483007.0,477031.6,561042.6,625640.8,654092.1,676583.1,742341.1,810414.7,811497.5
Cotati,350936.0,317107.6,294958.3,356134.9,417091.3,461385.0,505933.1,545976.5,600179.2,601572.0
Coto de Caza,810606.7,774344.5,751171.6,848312.3,940239.7,946505.8,959088.9,1018649.4,1082458.5,1076153.6
Cottonwood,163181.4,154285.7,154491.0,172848.2,196499.3,211421.8,223806.3,236007.1,255196.8,271058.7
Coulterville,147463.2,140246.9,141493.6,144096.0,164769.4,182885.5,203207.8,226445.5,242421.1,245755.7
Courtland,254843.9,229120.6,220187.8,278279.9,309879.8,341015.1,372328.1,406068.8,441951.7,453599.8
Covina,327213.3,309081.3,296900.6,342553.6,391880.6,415148.3,431076.4,471608.4,523012.5,537709.1
Crescent City,172387.9,162690.6,162450.0,167383.9,177018.5,185138.9,200622.0,219289.8,242294.7,251297.4
Crestline,142442.2,121399.0,106323.1,121172.6,144320.4,156427.1,169073.3,192076.8,226136.5,233626.1
Creston,524973.1,493828.1,485355.0,534113.9,581704.5,632894.4,654997.2,715280.1,760885.3,774983.3
Crows Landing,267787.1,255395.6,253491.3,299890.0,363826.3,437129.1,484825.9,536015.7,604162.9,644351.6
Cudahy,227972.2,215952.3,210978.9,242214.0,283485.3,307514.5,325571.5,366235.0,412990.0,440226.2
Culver City,510231.0,476990.5,459986.2,538523.3,616360.6,662599.7,691937.3,787405.2,958035.0,1026146.9
Cupertino,949824.2,923194.3,1014423.7,1239451.5,1453624.5,1726711.0,1768703.9,1783052.6,2181091.2,2156083.5
Cutler,80371.6,71242.4,75693.3,85315.3,98464.9,112054.5,121843.2,138392.3,151658.4,167082.5
Cypress,457300.9,432330.6,419963.1,471317.4,514844.5,540957.7,560723.5,612730.3,665921.2,673695.6
Daggett,44567.6,36396.1,34121.4,41804.4,51592.4,57148.4,60376.4,74045.2,100480.5,106705.9
Daly City,463131.7,427025.1,431795.6,535778.1,617922.8,712662.3,798827.5,856842.8,977421.5,1005839.0
Dana Point,609352.6,570528.5,565610.6,661653.9,744092.0,775935.4,796184.4,878130.8,955243.9,942638.5
Danville,740598.5,722438.6,752770.7,869654.3,985643.9,1084036.6,1143662.7,1186719.7,1263777.1,1285474.8
Davis,496166.5,467345.6,446995.8,484268.0,528333.0,561851.0,584942.8,631116.8,666483.0,688306.1
Del Mar,1253038.9,1328734.3,1414117.9,1603151.3,1797161.0,1991477.4,2161579.4,2259783.3,2358012.4,2358972.9
Del Monte Forest,1295330.4,1233753.3,1167604.8,1204338.5,1306034.2,1404415.8,1526910.9,1594892.1,1676123.2,1756846.9
Del Rey,145333.8,126950.5,128227.7,148688.0,173335.9,186492.9,207504.7,223648.6,240243.4,261837.8
Del Rey Oaks,432480.4,373253.5,356284.7,406574.7,464569.9,489763.5,529610.6,574264.9,612675.2,640799.3
Delano,113359.5,106338.9,110776.0,126227.2,141511.8,158634.4,175101.3,189159.0,204018.1,214694.7
Delhi,116701.1,110936.6,109474.9,130775.4,162755.8,183622.1,206391.4,229218.5,248188.3,267754.0
Denair,207419.6,192637.0,188034.3,219378.3,265006.2,297207.4,324375.4,347308.3,374661.1,392753.5
Descanso,291403.1,267944.5,257339.6,292000.9,319884.7,349896.3,382224.3,420836.5,446614.9,460570.9
Desert Hot Springs,94915.0,91294.7,92005.4,114105.3,138102.7,152294.0,167021.6,182471.4,208603.9,224421.7
Diamond Bar,476946.9,451821.5,442278.6,514385.8,585604.5,605769.3,607018.2,646618.5,693388.0,694152.4
Diamond Springs,220873.8,190249.6,176261.8,204701.5,238452.0,256891.4,279859.0,310003.2,334605.5,346151.5
Dillon Beach,569339.7,510025.8,519177.6,605373.8,665408.8,730863.7,798263.8,850181.5,894168.8,897272.3
Dinuba,144381.2,126916.5,121596.7,137402.4,157228.5,168348.3,178738.2,198732.0,217943.4,231168.9
Discovery Bay,301083.1,271462.5,311613.7,386328.8,452982.0,491846.0,528572.9,559717.0,594486.0,603712.5
Dixon,249684.2,230333.7,219884.4,271614.0,326204.0,353164.5,381046.8,409195.0,438210.6,454673.0
Dobbins,172431.1,167048.8,164435.3,177990.4,210423.1,235950.8,263858.5,288189.2,310644.1,321735.2
Dorris,48636.0,48077.5,49531.2,58549.7,64471.3,66945.2,72351.7,76423.0,80216.5,88576.3
Dos Palos,95838.5,89061.8,84560.4,98932.6,125898.6,144380.6,163053.5,185621.8,208112.6,228492.1
