Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% No own children under 18,% 1-2 own children under 18 ,% 3-4 own children under 18,% 5 or more own children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family,% Owner occupied,% Renter occupied
2015,Palmdale ,15.2,20.2,9.6,8.4,21.6,20.7,14.1,0.6,8.7,17,26,53.8,8.6,18.6,25.6,64.8,18.3,11.7,17.9,19.1,49.3,16.9,5.1,0,4.9,38.1
2015,Palo Alto ,5.2,4.6,3.5,3.6,36.9,22,0,4.3,5.9,5.4,0,0,5.9,5.4,0,0,9.3,2.9,0,0,17.7,7.2,0,3.4,1.3,12.3
2015,Pasadena ,10.9,17.7,7.1,4.1,26.5,18.7,12.1,4.8,5.4,13.2,39.1,0,7.8,11.5,34.6,0,6.8,13.3,15.7,28.2,33.6,17,3.3,4.6,3.7,18.5
2015,Perris ,20.5,23.9,16,24.7,28.7,18.5,12.5,17,12.5,15.3,40.7,56.7,10.5,17.4,39.6,100,12,20,23.8,25.8,69.5,33.7,9.3,0,15.2,28.9
2015,Pittsburg ,15.9,24.3,15.5,3.5,20.1,30.9,11.4,3,6.4,22.5,29.3,0,6.4,23.1,34.6,0,17.9,13.2,22,0,30.6,33.4,0.5,3.8,2.5,35.3
2015,Pleasanton ,2.4,3.3,1,0,0,0,3.1,2.5,1.2,3,5.8,-,1.1,3.1,5.8,-,1.5,2.7,3.8,0,8.8,3,1.1,0,1.8,4
2015,Pomona ,14.7,19.3,9.8,14.1,27.7,15,6.9,2.7,9.1,18,23.7,24.2,9.3,18.9,28.4,50.9,11.3,18,13.1,9.6,38.4,21.4,7.8,1.6,3.1,28.8
2015,Rancho Cordova ,12,16.6,10.3,8,35.2,19.6,11.7,2.3,7.3,14.6,22.4,42.8,7,16.4,21.1,42.8,8.7,14.8,13.4,16,24.6,19.9,3,1.5,5.7,20.3
2015,Rancho Cucamonga ,7.3,11.6,4.1,7.5,15.5,11.3,9,1.8,2.1,8.1,26.7,100,3.7,7.3,26.8,100,4.1,6.1,17.2,7.6,22.3,12.3,2.4,0.8,3.2,13.8
2015,Redding ,12.6,24.4,9.5,0,32.8,21.9,9.4,6.6,3.9,23.9,24.9,100,3.7,27.6,18.1,100,11.4,17.3,3.8,100,23.3,18.4,1.8,0,5,22.2
2015,Redlands ,11.3,16.1,5.1,11.6,28.4,27.8,6.9,5.1,6.8,10,36.9,0,8.6,10.3,33.6,0,8.8,13.2,14,0,43.3,7.4,1.8,0,4.2,23.2
2015,Redondo Beach ,2.1,1.3,0.8,5.5,6.7,3.6,1.2,2.1,2.8,1.4,0,-,2.7,1.5,0,-,2.6,1.8,0,-,13.5,1.9,0.7,0,2.8,1.3
2015,Redwood City ,6,9.6,5,1.8,30.2,7.9,5,0,2.4,5.1,32.2,-,3.5,4.6,29.4,-,3.7,3.8,23,0,30,6.2,3.7,0,2,12.3
