Year,City,% All Families
2019,Carmichael  ,5.1
2019,Carson ,4.6
2019,Chico ,10.5
2019,Chino ,4.6
2019,Chino Hills ,2.6
2019,Chula Vista ,7.4
2019,Citrus Heights ,6
2019,Clovis ,5.8
2019,Compton ,10.1
2019,Concord ,7.3
2019,Corona ,7.5
2019,Costa Mesa ,6
2019,Daly City ,2.4
2019,Davis ,6.3
2019,Downey ,7.1
2019,East Los Angeles  ,14.3
2019,El Cajon ,11.8
2019,Elk Grove ,5.4
2019,El Monte ,12.7
2019,Escondido ,13.4
2019,Fairfield ,7.3
2019,Florence-Graham  ,18.1
2019,Folsom ,3.2
2019,Fontana ,9.4
2019,Fremont ,1.8
2019,Fresno ,19.1
2019,Fullerton ,5.7
2019,Garden Grove ,8.8
2019,Glendale ,9.2
2019,Hawthorne ,14.3
2019,Hayward ,5.2
2019,Hemet ,15.4
2019,Hesperia ,11.7
2019,Huntington Beach ,4.9
2019,Indio ,7.2
2019,Inglewood ,12.1
2019,Irvine ,8.5
2019,Jurupa Valley ,10
2019,Laguna Niguel ,1.9
2019,Lake Elsinore ,5.8
2019,Lake Forest ,3.7
2019,Lakewood ,5.4
2019,Lancaster ,13.2
2019,Livermore ,3
2019,Lodi ,6.9
2019,Long Beach ,10.6
2019,Los Angeles ,12.1
2019,Lynwood ,13.4
2019,Madera ,18.7
2019,Manteca ,8.4
2019,Menifee ,6
2019,Merced ,19.4
2019,Milpitas ,0.7
2019,Mission Viejo ,2.3
2019,Modesto ,7.7
2019,Moreno Valley ,10.2
2019,Mountain View ,2.1
2019,Murrieta ,4.7
2019,Napa ,4.3
2019,Newport Beach ,4.8
2019,Norwalk ,4.6
2019,Oakland ,11
2019,Oceanside ,3.9
2019,Ontario ,10.5
2019,Orange ,4.9
2019,Oxnard ,9.9
2019,Palmdale ,12
2019,Palo Alto ,2.6
2019,Pasadena ,6.1
2019,Perris ,6.4
2019,Pittsburg ,9.4
2019,Pleasanton ,3
2019,Pomona ,11.2
2019,Rancho Cordova ,11.3
2019,Rancho Cucamonga ,6
2019,Redding ,7.2
2019,Redlands ,4.2
2019,Redwood City ,3.3
2019,Rialto ,12.1
2019,Richmond ,9.6
2019,Riverside ,8.2
2019,Rocklin ,3.2
2019,Roseville ,4
2019,Sacramento ,8.4
2019,Salinas ,15.5
2019,San Bernardino ,17.2
2019,San Buenaventura (Ventura) ,2.6
2019,San Clemente ,2
2019,San Diego ,6.9
2019,San Francisco ,4.9
2019,San Jose ,3.9
2019,San Leandro ,6.3
2019,San Marcos ,7.1
2019,San Mateo ,3.1
2019,San Ramon ,1.5
2019,Santa Ana ,10.5
2019,Santa Barbara ,5.8
2019,Santa Clara ,1.1
2019,Santa Clarita ,5.8
2019,Santa Cruz ,5.3
2019,Santa Maria ,10.3
2019,Santa Monica ,5.8
2019,Santa Rosa ,3.1
2019,Simi Valley ,3.3
2019,South Gate ,13.4
2019,South San Francisco ,3.1
2019,Stockton ,12.4
2019,Sunnyvale ,3.3
2019,Temecula ,5.1
2019,Thousand Oaks ,2.7
2019,Torrance ,3.6
2019,Tracy ,6.4
2019,Tulare ,19.3
2019,Turlock ,8.2
2019,Tustin ,8.8
2019,Union City ,3
2019,Upland ,4.8
2019,Vacaville ,3.8
2019,Vallejo ,9.6
2019,Victorville ,15.2
2019,Visalia ,9.6
2019,Vista ,7.9
2019,Walnut Creek ,3.4
2019,West Covina ,4.1
2019,Westminster ,13.5
2019,Whittier ,4.7
2019,Yorba Linda ,3.5
2019,Yuba City ,11.3
