"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0653322","Oceanside city, California","55896","2321","32138","2277","22768","2316","8360","1208","698","451","240","254","72","121","23758","2123","11971","1933","9578","1440","1439","707","519","343","251","291",
"1600000US0653896","Ontario city, California","42752","2482","22765","2057","12017","1728","8195","1440","1938","802","399","286","216","280","19987","2292","6914","1513","8611","1677","2361","1002","1772","645","329","356",
"1600000US0653980","Orange city, California","41986","3063","23419","2427","16317","2085","6004","1122","920","411","178","223","0","294","18567","2016","7963","1612","7112","1249","2041","754","904","547","547","413",
"1600000US0654652","Oxnard city, California","49059","2881","25641","2459","14862","1930","8382","1468","1689","579","564","298","144","111","23418","1942","7465","1220","10253","1462","3786","894","996","637","918","504",
"1600000US0655156","Palmdale city, California","40215","1790","27761","1845","15196","1985","10585","1360","1772","661","154","149","54","90","12454","1377","5013","1021","5536","1218","1308","577","433","323","164","167",
"1600000US0656000","Pasadena city, California","50821","3192","22874","2310","16725","2049","5625","1280","524","418","0","294","0","294","27947","2186","14892","2116","8946","1619","2892","860","1054","575","163","268",
"1600000US0656700","Perris city, California","15621","989","10281","1098","3837","943","5123","930","1040","497","281","323","0","294","5340","1041","1541","633","2644","915","595","410","347","283","213","343",
"1600000US0657456","Pittsburg city, California","18231","1137","10804","1215","5976","1227","4117","950","658","415","0","294","53","89","7427","1108","2687","764","3963","984","733","454","44","69","0","294",
"1600000US0657792","Pleasanton city, California","23226","1356","15797","1269","11447","1372","4197","777","63","101","0","294","90","104","7429","1230","3508","901","3366","947","555","389","0","294","0","294",
"1600000US0658072","Pomona city, California","36638","1878","18756","1785","7131","1496","8632","1287","1770","729","1223","591","0","294","17882","1732","4559","1084","7680","1343","3247","953","1891","640","505","355",
"1600000US0659451","Rancho Cucamonga city, California","54752","2457","36141","2365","24075","2456","11381","1753","622","428","63","102","0","294","18611","2080","9204","2033","7896","1244","1210","729","301","386","0","294",
