Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2013,Santa Ana,334241,28252,8.5,25784,7.7,26369,7.9,24369,7.3,33597,10.1,53855,16.1,49184,14.7,40537,12.1,15214,4.6,11469,3.4,14543,4.4,7818,2.3,3250,1.0
2013,Santa Barbara,90431,6365,7.0,3316,3.7,3529,3.9,5418,6.0,11606,12.8,14634,16.2,11488,12.7,10645,11.8,4512,5.0,4872,5.4,6453,7.1,4033,4.5,3560,3.9
2013,Santa Clara,120250,8338,6.9,7065,5.9,6402,5.3,7611,6.3,9563,8.0,23420,19.5,19304,16.1,15902,13.2,6524,5.4,4634,3.9,6833,5.7,3195,2.7,1459,1.2
2013,Santa Clarita,179582,10827,6.0,12931,7.2,12800,7.1,13069,7.3,12894,7.2,22958,12.8,21886,12.2,27942,15.6,13107,7.3,10163,5.7,13505,7.5,4698,2.6,2802,1.6
2013,Santa Maria,102205,8649,8.5,9723,9.5,10086,9.9,8248,8.1,9253,9.1,15005,14.7,12029,11.8,11726,11.5,4908,4.8,3291,3.2,4227,4.1,3339,3.3,1721,1.7
2013,Santa Monica,92484,6024,6.5,3045,3.3,2825,3.1,2780,3.0,4867,5.3,18063,19.5,15919,17.2,12445,13.5,5533,6.0,4531,4.9,7723,8.4,6418,6.9,2311,2.5
2013,Santa Rosa,171996,9996,5.8,9914,5.8,11258,6.5,11777,6.8,9616,5.6,25968,15.1,21417,12.5,23393,13.6,12348,7.2,10127,5.9,13981,8.1,7718,4.5,4483,2.6
2013,Simi Valley,126177,6829,5.4,7940,6.3,8696,6.9,7819,6.2,7826,6.2,13610,10.8,17972,14.2,19865,15.7,8879,7.0,7932,6.3,11779,9.3,4304,3.4,2726,2.2
2013,South Gate,95664,6340,6.6,6442,6.7,7271,7.6,7898,8.3,8449,8.8,15202,15.9,13773,14.4,12310,12.9,5560,5.8,3460,3.6,5002,5.2,3249,3.4,708,0.7
2013,South San Francisco,66174,4603,7.0,3750,5.7,4591,6.9,3063,4.6,4658,7.0,8959,13.5,8894,13.4,9431,14.3,4568,6.9,4475,6.8,5546,8.4,2089,3.2,1547,2.3
2013,South Whittier,65365,4528,6.9,4835,7.4,4680,7.2,4728,7.2,6682,10.2,10199,15.6,7339,11.2,10460,16.0,3509,5.4,2257,3.5,3393,5.2,1553,2.4,1202,1.8
2013,Stockton,298115,24152,8.1,22422,7.5,24794,8.3,22790,7.6,25061,8.4,41194,13.8,36981,12.4,33491,11.2,17089,5.7,14283,4.8,20689,6.9,10127,3.4,5042,1.7
2013,Sunnyvale,147559,12142,8.2,7350,5.0,6373,4.3,6884,4.7,7850,5.3,29022,19.7,22322,15.1,18947,12.8,8765,5.9,7042,4.8,11410,7.7,6422,4.4,3030,2.1
2013,Temecula,106783,6684,6.3,7398,6.9,8773,8.2,12645,11.8,7797,7.3,10233,9.6,16340,15.3,16003,15.0,7006,6.6,3640,3.4,6102,5.7,3213,3.0,949,0.9
2013,Thousand Oaks,128739,5271,4.1,8677,6.7,8608,6.7,9496,7.4,8327,6.5,12535,9.7,14620,11.4,21375,16.6,11053,8.6,8300,6.4,10657,8.3,6147,4.8,3673,2.9
2013,Torrance,147485,7428,5.0,8418,5.7,9159,6.2,8172,5.5,9327,6.3,15541,10.5,19419,13.2,27940,18.9,10353,7.0,7737,5.2,11940,8.1,7839,5.3,4212,2.9
2013,Tracy,84683,6845,8.1,7410,8.8,8443,10.0,7291,8.6,6100,7.2,11581,13.7,11887,14.0,12567,14.8,4287,5.1,2963,3.5,3449,4.1,1079,1.3,781,0.9
2013,Turlock,70358,5049,7.2,5341,7.6,4767,6.8,6517,9.3,4574,6.5,10011,14.2,10347,14.7,7492,10.6,3679,5.2,3867,5.5,4877,6.9,2150,3.1,1687,2.4
2013,Tustin,78326,5767,7.4,5806,7.4,5414,6.9,4619,5.9,4938,6.3,13604,17.4,10990,14.0,11508,14.7,4375,5.6,3747,4.8,3607,4.6,2511,3.2,1440,1.8
2013,Union City,72540,4878,6.7,5022,6.9,3423,4.7,4193,5.8,4656,6.4,12160,16.8,9853,13.6,8879,12.2,4798,6.6,4754,6.6,5598,7.7,3759,5.2,567,0.8
2013,Upland,75420,5335,7.1,4298,5.7,4508,6.0,5023,6.7,5940,7.9,10755,14.3,8952,11.9,11389,15.1,4751,6.3,4132,5.5,6122,8.1,2427,3.2,1788,2.4
2013,Vacaville,94272,6044,6.4,5424,5.8,6306,6.7,6312,6.7,7483,7.9,12584,13.3,11932,12.7,14270,15.1,5869,6.2,5580,5.9,6477,6.9,3564,3.8,2427,2.6
2013,Vallejo,118855,6878,5.8,4445,3.7,6400,5.4,7597,6.4,7996,6.7,16406,13.8,14943,12.6,18148,15.3,10326,8.7,8820,7.4,9711,8.2,4490,3.8,2695,2.3
2013,Victorville,121080,10592,8.7,12745,10.5,10666,8.8,8131,6.7,7818,6.5,20847,17.2,16182,13.4,13498,11.1,4605,3.8,5796,4.8,6591,5.4,2726,2.3,883,0.7
2013,Visalia,127758,12537,9.8,8660,6.8,10757,8.4,8941,7.0,9650,7.6,18946,14.8,15976,12.5,15989,12.5,5742,4.5,6011,4.7,9722,7.6,2711,2.1,2116,1.7
2013,Vista,96919,4717,4.9,5050,5.2,5497,5.7,5654,5.8,8737,9.0,17604,18.2,15318,15.8,13460,13.9,5751,5.9,4990,5.1,5166,5.3,3284,3.4,1691,1.7
2013,Walnut Creek,66890,2488,3.7,3983,6.0,2549,3.8,3518,5.3,2602,3.9,7134,10.7,9212,13.8,9581,14.3,4180,6.2,3860,5.8,7468,11.2,6479,9.7,3836,5.7
2013,West Covina,107741,5408,5.0,6561,6.1,7929,7.4,6710,6.2,9437,8.8,16219,15.1,11966,11.1,15174,14.1,9051,8.4,6000,5.6,6486,6.0,4741,4.4,2059,1.9
2013,Westminster,91750,4704,5.1,5202,5.7,6811,7.4,6219,6.8,5314,5.8,12016,13.1,13173,14.4,12949,14.1,5229,5.7,4859,5.3,7122,7.8,5795,6.3,2357,2.6
2013,Whittier,86618,6650,7.7,6196,7.2,4837,5.6,6812,7.9,6753,7.8,10904,12.6,11788,13.6,11731,13.5,5261,6.1,4457,5.1,4835,5.6,3720,4.3,2674,3.1
2013,Yorba Linda,67042,3835,5.7,4259,6.4,5568,8.3,3968,5.9,2894,4.3,6472,9.7,8247,12.3,10999,16.4,4271,6.4,5315,7.9,5839,8.7,3334,5.0,2041,3.0
2013,Yuba City,65410,5156,7.9,5529,8.5,4408,6.7,4675,7.1,5212,8.0,8120,12.4,8744,13.4,8148,12.5,4059,6.2,3342,5.1,4954,7.6,2022,3.1,1041,1.6
