Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2010,Redondo Beach,66825,5138,7.7,3768,5.6,3368,5,2514,3.8,1867,2.8,11968,17.9,13621,20.4,11027,16.5,4033,6,3269,4.9,3164,4.7,2283,3.4,805,1.2
2010,Redwood City,77013,6459,8.4,4475,5.8,6212,8.1,3910,5.1,4602,6,10157,13.2,12822,16.6,11254,14.6,4859,6.3,3569,4.6,3874,5,2839,3.7,1981,2.6
2010,Rialto,99530,7684,7.7,8682,8.7,10079,10.1,11023,11.1,7483,7.5,12645,12.7,15574,15.6,11258,11.3,4311,4.3,4090,4.1,3942,4,2330,2.3,429,0.4
2010,Richmond,104059,8428,8.1,6994,6.7,5975,5.7,6733,6.5,7833,7.5,15131,14.5,14415,13.9,15509,14.9,6267,6,7322,7,5892,5.7,2670,2.6,890,0.9
2010,Riverside,305707,24140,7.9,21472,7,22319,7.3,27873,9.1,30378,9.9,47892,15.7,38657,12.6,40239,13.2,15360,5,10685,3.5,14982,4.9,7899,2.6,3811,1.2
2010,Roseville,119335,7315,6.1,11068,9.3,7743,6.5,9571,8,7721,6.5,14672,12.3,18774,15.7,15731,13.2,6441,5.4,5048,4.2,7326,6.1,5907,4.9,2018,1.7
2010,Sacramento,467503,34191,7.3,32058,6.9,29352,6.3,36033,7.7,35814,7.7,78527,16.8,60995,13,61237,13.1,25941,5.5,22347,4.8,25985,5.6,17432,3.7,7591,1.6
2010,Salinas,151031,14819,9.8,14715,9.7,12473,8.3,12439,8.2,12208,8.1,23294,15.4,21418,14.2,17487,11.6,6897,4.6,5356,3.5,5592,3.7,3495,2.3,838,0.6
2010,San Bernardino,210670,19107,9.1,16783,8,20558,9.8,19461,9.2,15512,7.4,28475,13.5,27123,12.9,27951,13.3,9034,4.3,7532,3.6,11031,5.2,5864,2.8,2239,1.1
2010,San Buenaventura (Ventura),106730,7841,7.3,6331,5.9,5825,5.5,6956,6.5,7734,7.2,15090,14.1,13937,13.1,15732,14.7,6594,6.2,6164,5.8,7357,6.9,4945,4.6,2224,2.1
2010,San Diego,1311886,83209,6.3,76456,5.8,79758,6.1,94703,7.2,131468,10,225296,17.2,184449,14.1,172536,13.2,66142,5,60409,4.6,69939,5.3,46595,3.6,20926,1.6
2010,San Francisco,805463,35299,4.4,28999,3.6,25603,3.2,35125,4.4,60427,7.5,167944,20.9,134797,16.7,109686,13.6,47802,5.9,49440,6.1,54532,6.8,37710,4.7,18099,2.2
2010,San Jose,949197,68554,7.2,66267,7,62146,6.5,60964,6.4,68557,7.2,142551,15,145949,15.4,140376,14.8,49935,5.3,45312,4.8,55471,5.8,29754,3.1,13361,1.4
2010,San Leandro,85159,4056,4.8,5485,6.4,4675,5.5,4825,5.7,5055,5.9,12600,14.8,11731,13.8,12986,15.2,5691,6.7,6848,8,6404,7.5,2800,3.3,2003,2.4
2010,San Marcos,84079,7322,8.7,6029,7.2,6720,8,6497,7.7,5147,6.1,12497,14.9,13805,16.4,11542,13.7,4323,5.1,2306,2.7,3728,4.4,2615,3.1,1548,1.8
2010,San Mateo,97461,5795,5.9,4312,4.4,4424,4.5,6258,6.4,5930,6.1,15073,15.5,13793,14.2,15454,15.9,6549,6.7,5074,5.2,6689,6.9,4453,4.6,3657,3.8
2010,San Ramon,72404,4855,6.7,7201,9.9,5544,7.7,4074,5.6,1685,2.3,8777,12.1,14210,19.6,11907,16.4,4090,5.6,3186,4.4,4477,6.2,1848,2.6,550,0.8
2010,Santa Ana,325483,30149,9.3,26809,8.2,28469,8.7,26942,8.3,27864,8.6,52755,16.2,51870,15.9,36631,11.3,12836,3.9,11016,3.4,10725,3.3,6187,1.9,3230,1
2010,Santa Barbara,88579,5495,6.2,5794,6.5,2722,3.1,5714,6.5,7154,8.1,15937,18,11425,12.9,10762,12.1,5813,6.6,4273,4.8,5839,6.6,4774,5.4,2877,3.2
2010,Santa Clara,116864,8794,7.5,7376,6.3,8234,7,8615,7.4,8137,7,20612,17.6,21141,18.1,14851,12.7,5631,4.8,3707,3.2,3882,3.3,4353,3.7,1531,1.3
2010,Santa Clarita,176535,10508,6,10757,6.1,15505,8.8,14644,8.3,12914,7.3,19334,11,26894,15.2,29308,16.6,10811,6.1,8824,5,10245,5.8,4670,2.6,2121,1.2
2010,Santa Maria,99747,9163,9.2,8705,8.7,6995,7,7419,7.4,8938,9,17984,18,13085,13.1,11583,11.6,3693,3.7,4004,4,4167,4.2,2788,2.8,1223,1.2
2010,Santa Monica,89861,3617,4,3134,3.5,4039,4.5,3733,4.2,5571,6.2,14022,15.6,16284,18.1,13240,14.7,7140,7.9,5678,6.3,5996,6.7,4278,4.8,3129,3.5
2010,Santa Rosa,168244,13071,7.8,11700,7,11080,6.6,9736,5.8,12348,7.3,27471,16.3,20459,12.2,22704,13.5,9695,5.8,9057,5.4,9904,5.9,7263,4.3,3756,2.2
2010,Simi Valley,124596,6191,5,8930,7.2,8792,7.1,8327,6.7,8335,6.7,17790,14.3,18260,14.7,18553,14.9,9664,7.8,5986,4.8,8069,6.5,4379,3.5,1320,1.1
2010,South Gate,94503,6894,7.3,7780,8.2,7304,7.7,9087,9.6,7324,7.8,14114,14.9,13949,14.8,12175,12.9,5657,6,3481,3.7,4063,4.3,2247,2.4,428,0.5
2010,Stockton,292747,22690,7.8,21229,7.3,23151,7.9,27451,9.4,23383,8,39392,13.5,37072,12.7,35495,12.1,17591,6,14252,4.9,16406,5.6,10089,3.4,4546,1.6
