Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2015,Perris,7024,17.8,7680,19.5,10989,27.9,8497,21.6,2517,6.4,2199,5.6,519,1.3
2015,Pittsburg,5180,11.6,4125,9.2,10643,23.8,12179,27.3,3603,8.1,6220,13.9,2704,6.1
2015,Pleasanton,1688,3.2,1307,2.5,5852,11.0,8899,16.8,2449,4.6,18233,34.4,14584,27.5
2015,Pomona,18302,19.4,11277,12.0,21525,22.8,17955,19.1,6635,7.0,13061,13.9,5479,5.8
2015,Rancho Cordova,2535,5.3,2189,4.6,11431,23.8,14456,30.1,4423,9.2,9883,20.6,3062,6.4
2015,Rancho Cucamonga,3071,2.8,5014,4.5,23896,21.6,33815,30.6,9962,9.0,21542,19.5,13149,11.9
2015,Redding,1312,2.1,3351,5.3,13397,21.3,18770,29.8,8432,13.4,11705,18.6,5965,9.5
2015,Redlands,1317,2.8,3521,7.6,9046,19.4,10694,22.9,4673,10.0,9509,20.4,7874,16.9
2015,Redondo Beach,790,1.5,955,1.8,5348,10.2,9039,17.2,4691,8.9,19568,37.2,12174,23.2
2015,Redwood City,6275,10.5,3238,5.4,9747,16.2,8986,15.0,3917,6.5,14677,24.5,13169,21.9
2015,Rialto,12168,19.1,9454,14.9,19712,31.0,11886,18.7,4449,7.0,4604,7.2,1369,2.2
2015,Richmond,7829,10.3,7043,9.3,17650,23.3,16295,21.5,7241,9.6,12616,16.7,7035,9.3
2015,Riverside,18557,9.4,22281,11.2,50255,25.3,47750,24.1,15351,7.7,26714,13.5,17347,8.7
2015,Roseville,2426,2.8,4173,4.7,15495,17.6,22048,25.0,11157,12.7,22970,26.1,9799,11.1
2015,Sacramento,27774,8.6,25996,8.0,70635,21.9,71877,22.2,29064,9.0,64091,19.8,33772,10.4
2015,Salinas,28593,31.1,11479,12.5,17753,19.3,15412,16.7,6705,7.3,8883,9.7,3190,3.5
2015,San Bernardino,17160,14.1,20909,17.2,34381,28.3,27694,22.8,6318,5.2,9771,8.1,5041,4.2
2015,San Buenaventura (Ventura),5363,7.0,5419,7.0,15311,19.9,20203,26.2,6556,8.5,15245,19.8,8908,11.6
