year,GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
2017,1600000US0668196,San Marcos,73109,46115,47269,47269,47269,29611,95813
2017,1600000US0668252,San Mateo,82775,54339,55719,55719,55719,39660,104394
2017,1600000US0668378,San Ramon,55887,37066,37518,37518,37518,24317,75895
2017,1600000US0669000,Santa Ana,255193,168467,170037,170037,170037,76650,331778
2017,1600000US0669070,Santa Barbara,80962,55123,56849,56849,56849,40145,91712
2017,1600000US0669084,Santa Clara,105841,58947,67240,67240,67240,43159,126820
2017,1600000US0669088,Santa Clarita,163666,102864,105074,105074,105074,67564,210507
2017,1600000US0669112,Santa Cruz,58731,33334,34202,34202,34202,23585,64599
2017,1600000US0669196,Santa Maria,77619,48287,49097,49097,49097,27968,106546
2017,1600000US0670000,Santa Monica,79835,48544,49855,49855,49855,45258,91573
2017,1600000US0670098,Santa Rosa,143101,83988,87878,87878,87878,64155,173666
2017,1600000US0672016,Simi Valley,101811,61712,62707,62707,62707,40822,126619
2017,1600000US0673080,South Gate,73020,42110,43380,43380,43380,24019,95354
2017,1600000US0673262,South San Francisco,N,36268,37485,37485,37485,20939,67378
2017,1600000US0675000,Stockton,235383,125880,130673,130673,130673,91392,308406
2017,1600000US0677000,Sunnyvale,126174,80258,85878,85878,85878,55024,153072
2017,1600000US0678120,Temecula,85486,50319,52424,52424,52424,34277,113517
2017,1600000US0678582,Thousand Oaks,103794,61790,64465,64465,64465,46017,128543
2017,1600000US0680000,Torrance,120616,69622,71141,71141,71141,54327,145886
2017,1600000US0680238,Tracy,68483,42360,44029,44029,44029,25830,90685
2017,1600000US0680812,Turlock,57835,33448,34307,34307,34307,25562,73095
2017,1600000US0680854,Tustin,62718,41879,43394,43394,43394,27780,80191
2017,1600000US0681204,Union City,64233,25777,42460,42460,42460,22684,75243
2017,1600000US0681344,Upland,61698,36004,36956,36956,36956,25582,76615
2017,1600000US0681554,Vacaville,82887,45221,44592,44592,44592,34017,91886
2017,1600000US0681666,Vallejo,97971,54883,56320,56320,56320,41719,121457
2017,1600000US0682590,Victorville,91095,41484,43091,43091,43091,35088,118407
2017,1600000US0682954,Visalia,97761,58913,60738,60738,60738,43785,132129
2017,1600000US0682996,Vista,78087,50887,51304,51304,51304,31618,99512
2017,1600000US0683346,Walnut Creek,N,31863,32782,32782,32782,31648,69053
2017,1600000US0684200,West Covina,87202,52037,53175,53175,53175,29807,106970
2017,1600000US0684550,Westminster,75940,42911,43679,43679,43679,28876,91290
2017,1600000US0685292,Whittier,67544,38705,39267,39267,39267,26722,86318
2017,1600000US0686832,Yorba Linda,55892,33366,34097,34097,34097,22410,68102
2017,1600000US0686972,Yuba City,51494,24872,25570,25570,25570,22172,65543
