Year,City,Percent Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - High School Graduate (and equivalent),"Percent Population 25 years and over - Some college, no degree",Percent Population 25 years and over - Associate's degree,Percent Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Graduate or Prefessional Degree,Total population,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Violent Crimes Sum,Unemployment Rate,Income,House price mean,% All Families,Crime_Rate_per_100k,Percent Home Occupied,Percent Renter Occupied
2010,Salinas,26.9,10.6,21.9,19.0,7.8,9.9,3.8,151031.0,9.8,9.7,8.3,8.2,8.1,15.4,14.2,11.6,4.6,3.5,3.7,2.3,0.6,1162.0,10.9,40933.0,246756.3,19.7,769.3784719693308,43.34155815601104,56.65844184398896
2010,San Bernardino,16.5,19.4,25.8,19.5,6.7,8.2,4.0,210670.0,9.1,8.0,9.8,9.2,7.4,13.5,12.9,13.3,4.3,3.6,5.2,2.8,1.1,1624.0,18.2,59604.0,119384.8,28.0,770.8738785778705,50.964700355680826,49.035299644319174
2010,San Diego,6.6,6.4,16.4,22.0,8.2,24.1,16.3,1311886.0,6.3,5.8,6.1,7.2,10.0,17.2,14.1,13.2,5.0,4.6,5.3,3.6,1.6,5616.0,10.7,469635.0,401561.7,12.7,428.08597698275616,47.88271742949311,52.11728257050689
2010,San Francisco,8.5,5.6,14.2,15.6,5.3,31.4,19.5,805463.0,4.4,3.6,3.2,4.4,7.5,20.9,16.7,13.6,5.9,6.1,6.8,4.7,2.2,5747.0,9.0,336012.0,669525.1,7.6,713.5026686514465,36.6439293834744,63.35607061652559
2010,San Jose,9.9,8.0,19.0,19.1,7.5,23.2,13.4,949197.0,7.2,7.0,6.5,6.4,7.2,15.0,15.4,14.8,5.3,4.8,5.8,3.1,1.4,3215.0,12.7,297637.0,463895.6,8.7,338.7073494753987,58.2185682559628,41.7814317440372
2010,San Leandro,9.1,8.7,26.3,23.3,6.6,19.2,6.8,85159.0,4.8,6.4,5.5,5.7,5.9,14.8,13.8,15.2,6.7,8.0,7.5,3.3,2.4,347.0,13.2,29940.0,355381.7,9.6,407.47307976843314,58.954575818303276,41.045424181696724
2010,San Marcos,11.5,5.3,17.2,18.5,18.6,19.1,9.8,84079.0,8.7,7.2,8.0,7.7,6.1,14.9,16.4,13.7,5.1,2.7,4.4,3.1,1.8,237.0,10.2,26457.0,383715.0,11.0,281.8777578229998,57.4970707185244,42.5029292814756
2010,San Mateo,6.7,4.9,17.9,19.1,8.5,26.1,16.8,97461.0,5.9,4.4,4.5,6.4,6.1,15.5,14.2,15.9,6.7,5.2,6.9,4.6,3.8,292.0,9.3,39516.0,656444.3,3.2,299.6070222960979,52.94311165097682,47.05688834902318
2010,Santa Ana,28.7,18.5,21.0,15.3,3.6,9.4,3.5,325483.0,9.3,8.2,8.7,8.3,8.6,16.2,15.9,11.3,3.9,3.4,3.3,1.9,1.0,1510.0,14.4,71288.0,280420.3,18.5,463.9259193260478,47.531141286050946,52.468858713949054
2010,Santa Barbara,10.4,6.7,13.8,20.5,7.5,22.4,18.7,88579.0,6.2,6.5,3.1,6.5,8.1,18.0,12.9,12.1,6.6,4.8,6.6,5.4,3.2,341.0,7.9,33220.0,810797.0,11.7,384.9670915228214,43.31426851294401,56.68573148705599
